<!--                                                                                                                                                                                                                                                                -->
<!--                                                                                                                                                                                                                                                                -->
<!--                                                                                                                                                                                                                                                                -->
<!--                                                                                                                                                                                                                                                                -->
Feature ID	Data Definition	Alternate Name	Name	Y. pestis harvested from rat bubo, 48 to 72h after infection	Y. pestis harvested from rat bubo, 48 to 72h after infection	Y. pestis harvested from rat bubo, 48 to 72h after infection	Y. pestis harvested from rat bubo, 48 to 72h after infection	Y. pestis harvested from rat bubo, 48 to 72h after infection	Y. pestis harvested from rat bubo, 48 to 72h after infection	Y. pestis grow in LB/MOPS at 37C, stationary phase	Y. pestis grow in LB/MOPS at 37C, stationary phase	Y. pestis grow in LB/MOPS at 37C, stationary phase	Y. pestis grow in LB/MOPS at 37C, stationary phase	Y. pestis grow in LB/MOPS at 37C, stationary phase	Y. pestis grow in LB/MOPS at 37C, stationary phase	Y. pestis grow in LB/MOPS at 21C, log phase	Y. pestis grow in LB/MOPS at 21C, log phase	Y. pestis grow in LB/MOPS at 21C, log phase	Y. pestis grow in LB/MOPS at 21C, log phase	Y. pestis grow in LB/MOPS at 21C, log phase	Y. pestis grow in LB/MOPS at 21C, log phase	Y. pestis grow in LB/MOPS at 37C, log phase	Y. pestis grow in LB/MOPS at 37C, log phase	Y. pestis grow in LB/MOPS at 37C, log phase	Y. pestis grow in LB/MOPS at 37C, log phase	Y. pestis grow in LB/MOPS at 37C, log phase	Y. pestis grow in LB/MOPS at 37C, log phase	Y. pestis grow in LB/MOPS at 21C, stationary phase	Y. pestis grow in LB/MOPS at 21C, stationary phase	Y. pestis grow in LB/MOPS at 21C, stationary phase	Y. pestis grow in LB/MOPS at 21C, stationary phase	Y. pestis grow in LB/MOPS at 21C, stationary phase	Y. pestis grow in LB/MOPS at 21C, stationary phase	Data Submitter
ABY-0115308	signal	YPO0001	mioC	774.2	822.4	1151.7	592.9	584.6	528.8	764.1	1042.3	751.1	789.3	777.2	733.4	996.7	1137.7	1031.7	1034.5	1036.3	741.1	941.5	936.5	501.7	570.7	651.7	449.6	1554.8	1374	1350.7	1417.7	1784.3	1650.2	YU QIU
ABY-0115309	signal	YPO0002	asnC	118.3	147.5	111.1	120.4	103.6	117.6	112.7	193.8	166.9	130.8	111.3	109	145.8	145.8	112.9	114.2	129.6	159.9	109.4	117.4	113.9	139.5	128.2	106.7	156.3	178.2	134	180.3	155.8	143.8	YU QIU
ABY-0115313	signal	YPO0003	asnA	387.7	421.9	397.6	583.1	339.9	525	188.9	91	139.9	144.9	131	122.4	58.3	101.3	66.9	79.3	65.5	75	94.6	94.7	96.8	97.6	123.9	113.7	730.8	696.4	826.4	711.4	670.6	694.6	YU QIU
ABY-0115314	signal	YPO0004	viaA	138	35.2	122.8	162.9	170.7	129.5	99.4	136	130.9	118.7	128.9	118.2	119.9	124.2	133.6	141.3	125.9	141.4	77.1	62.6	85.9	74	54.3	70	143.6	149.6	169.8	153.4	145.6	103.3	YU QIU
ABY-0115315	signal	YPO0005	ravA	428.4	197.7	369.1	333.5	343.2	338.5	416.8	409.8	432.8	397.8	461.5	484.2	268.1	411.9	403.3	407.3	357.5	360.2	229.7	225.8	212.5	230.7	220.9	245.1	652.3	798.5	547.6	750	548.2	572.6	YU QIU
ABY-0115316	signal	YPO0006	trkD	307.9	241.6	258	173.6	257	261.1	221.4	268	215.6	202.9	192.9	172.8	199.8	205.1	181.6	221.8	202.4	206.7	178.6	161.6	107.9	105.3	131.6	93	338.7	316.4	315.1	356.5	273.6	305.5	YU QIU
ABY-0115329	signal	YPO0007	rbsD	601.5	720	594.1	1045.1	489.6	488	3262.6	1996.3	2995.1	2873.3	2913.7	2713.5	964.3	1081.7	1028.1	1115.4	940.5	860.2	887.1	867.4	919	846.6	828.3	957.7	3308	3041	2829.7	3063.4	2923.3	2858.8	YU QIU
ABY-0115330	signal	YPO0008	rbsK	717.1	707.4	491	798.6	500.5	569.5	1424.9	1172.7	1403.7	1308.1	1625.3	1247.4	560.4	599	776.5	699.3	611	622	462.6	472.5	499.9	498.2	514	627.8	1553	1331.9	1546.7	1526.6	1514	1563.1	YU QIU
ABY-0115334	signal	YPO0009	hsrA	223	182.4	223.6	110.6	219.6	138.8	114.4	124.2	178	187.7	138.4	136	135.9	120.5	122.7	141.9	118.5	156.5	124.6	113	118.4	94.4	96.9	89.6	159.2	164.6	159.7	195.4	207.1	157.7	YU QIU
ABY-0115349	signal	YPO0010	yieP	370.2	282.5	183.2	336.6	236.7	238	134.2	226.9	158.4	184.6	135.2	163.8	86.1	66.9	114.7	79.4	77.1	108.2	93.8	91.6	86.2	109.6	104	122.9	194	220.6	209.3	188.7	235.4	210.3	YU QIU
ABY-0115360	signal	YPO0011		5610.6	5289.3	6153.9	4634.7	6994.4	5021	4788.3	6099.8	5300.5	5639.9	5453.1	6116.5	3519.4	4663.4	4731.3	4445.9	4378.2	4913.9	4765.2	4464.4	4571.4	4716.4	4737.5	5092.2	3284.3	2977.5	3145.5	2642.8	2866.3	2702.4	YU QIU
ABY-0115363	signal	YPO0012	mobB	166.5	240.5	204.6	132.1	173.8	146.6	142.3	176.1	133	207.8	161.6	160	284.7	244.4	199.3	232	200.4	223.1	129.1	140.4	107.8	139.8	130.4	131.8	220.7	183.5	178.2	227.3	206.4	255.6	YU QIU
ABY-0115365	signal	YPO0013	mobA	126	110.6	120.6	116.2	61.6	73.5	83.2	99.9	101.7	89.6	78.8	69.2	169.8	163.6	132.1	156.3	163.7	136.2	75.6	57.5	56.9	66.1	56.8	63.1	115.2	157.6	225.3	172.5	151	156	YU QIU
